Pays,Clics,Impressions,CTR,Position
France,829,21164,3.92%,15.31
Belgique,22,726,3.03%,27.62
Suisse,15,489,3.07%,46.24
Canada,12,534,2.25%,27.74
Martinique,10,78,12.82%,5.54
Côte d'Ivoire,9,220,4.09%,6.24
Sénégal,8,234,3.42%,5.22
Maroc,6,273,2.2%,12.79
Algérie,5,330,1.52%,11.84
Cameroun,5,212,2.36%,4.92
Israël,4,19,21.05%,6.68
Réunion (Île de la),3,91,3.3%,6.29
Guadeloupe,3,69,4.35%,7.43
Australie,3,43,6.98%,16.95
Égypte,3,16,18.75%,8.75
États-Unis,2,769,0.26%,12.65
Royaume-Uni,2,636,0.31%,30.45
Allemagne,2,198,1.01%,38.85
Italie,2,117,1.71%,11.86
République démocratique du Congo,2,99,2.02%,4.12
Tunisie,2,92,2.17%,6.96
Portugal,2,28,7.14%,7.46
Luxembourg,1,246,0.41%,32.25
Haïti,1,100,1%,5.17
Madagascar,1,76,1.32%,5.72
Bénin,1,55,1.82%,4.38
Burkina Faso,1,53,1.89%,7.79
Pays-Bas,1,53,1.89%,9.79
Pologne,1,35,2.86%,47.23
Niger,1,32,3.12%,4.28
Russie,1,31,3.23%,67.35
Mali,1,26,3.85%,3.04
Gabon,1,24,4.17%,4.08
Thaïlande,1,20,5%,11.25
Vietnam,1,19,5.26%,15.42
Djibouti,1,6,16.67%,2.67
Polynésie française,1,6,16.67%,7.67
Géorgie,1,4,25%,5.75
Lettonie,1,2,50%,43
Espagne,0,116,0%,9.28
Brésil,0,44,0%,13.64
Congo-Brazzaville,0,42,0%,4.24
Inde,0,41,0%,20.49
Togo,0,34,0%,5.79
Guyane française,0,29,0%,5.55
Kazakhstan,0,26,0%,88.92
Mauritanie,0,24,0%,4
Turquie,0,23,0%,6.26
Japon,0,23,0%,9.7
Maurice (Île),0,21,0%,5.29
Émirats Arabes Unis,0,19,0%,6.47
Hong-Kong,0,18,0%,5
Tchad,0,17,0%,3.47
Grèce,0,17,0%,30.53
Malte,0,17,0%,95.76
Mayotte,0,16,0%,4
Liban,0,16,0%,5.12
Guinée,0,16,0%,6.19
Indonésie,0,16,0%,13.5
Koweït,0,15,0%,4.4
République Dominicaine,0,14,0%,4
Singapour,0,14,0%,11.36
Chine,0,13,0%,5.46
Argentine,0,12,0%,3.83
Biélorussie,0,12,0%,70.75
Mexique,0,11,0%,4.55
Arabie Saoudite,0,11,0%,9.09
Malaisie,0,11,0%,14.82
Roumanie,0,10,0%,9.2
Afrique du Sud,0,10,0%,20.6
Colombie,0,9,0%,9.22
Suède,0,9,0%,23.56
Hongrie,0,9,0%,26
Corée du Sud,0,8,0%,6.88
Nouvelle-Calédonie,0,6,0%,8
Pérou,0,6,0%,10.33
Philippines,0,6,0%,24.67
Ukraine,0,6,0%,30.5
Albanie,0,5,0%,4.8
Lituanie,0,5,0%,5.2
Irlande,0,5,0%,7.8
Taïwan,0,5,0%,8.4
Croatie,0,5,0%,11.6
Norvège,0,5,0%,25.4
Oman,0,4,0%,2
Bangladesh,0,4,0%,6.25
Autriche,0,4,0%,6.75
Bahreïn,0,4,0%,7
Laos,0,4,0%,8.5
Nouvelle-Zélande,0,4,0%,11.75
Libye,0,3,0%,2.67
Angola,0,3,0%,4
Rwanda,0,3,0%,4.33
Pakistan,0,3,0%,7
Serbie,0,3,0%,8.67
Islande,0,3,0%,35
République tchèque,0,3,0%,37.33
République Centrafricaine,0,2,0%,2.5
Mozambique,0,2,0%,2.5
Soudan,0,2,0%,5
Surinam,0,2,0%,5
Ouganda,0,2,0%,5.5
Andorre,0,2,0%,7
Iran,0,2,0%,7.5
Azerbaïdjan,0,2,0%,8.5
Finlande,0,2,0%,11.5
Venezuela,0,2,0%,12.5
Bulgarie,0,2,0%,50
Burundi,0,1,0%,1
Gambie,0,1,0%,1
Cambodge,0,1,0%,1
Saint-Martin,0,1,0%,1
Mongolie,0,1,0%,1
Qatar,0,1,0%,1
Saint-Marin,0,1,0%,1
Paraguay,0,1,0%,2
Palestine,0,1,0%,2
Tanzanie,0,1,0%,2
Comores (Archipel),0,1,0%,3
Sint Maarten,0,1,0%,3
Syrie,0,1,0%,3
Vanuatu,0,1,0%,3
Moldavie,0,1,0%,4
Namibie,0,1,0%,4
Guernesey,0,1,0%,6
Irak,0,1,0%,6
Nigéria,0,1,0%,6
Saint-Barthélemy,0,1,0%,7
Chypre,0,1,0%,7
Fidji,0,1,0%,7
Afghanistan,0,1,0%,8
Bolivie,0,1,0%,9
Myanmar (Birmanie),0,1,0%,11
Slovaquie,0,1,0%,11
Équateur,0,1,0%,12
Honduras,0,1,0%,20
El Salvador,0,1,0%,29
Danemark,0,1,0%,46
Slovénie,0,1,0%,47
Bosnie-Herzégovine,0,1,0%,92
Jordanie,0,1,0%,99