wp_slug,shopify_handle,score,method,shopify_title
fresh,fresh,1.0,direct,Fresh
number,number,1.0,direct,Number
azul,azul,1.0,direct,Azul
catalogue-personnalise,catalogue-personnalise,1.0,direct,Catalogue personnalisé
shampoing-gel-douche-testeur,shampoing-gel-douche-testeur,1.0,direct,Shampoing - Gel douche testeur
creation-de-codes-barres-professionnels,creation-de-codes-barres-professionnels,1.0,direct,Création de codes-barres professionnels
masque-cuivre-intense-testeur,masque-cuivre-intense-testeur,1.0,direct,Masque Cuivré Intense Testeur
masque-chocolat-testeur,masque-chocolat-testeur,1.0,direct,Masque Chocolat Testeur
forfait-dimpression-standard,forfait-dimpression-standard,1.0,direct,Forfait d’impression standard (noir uniquement)
masque-coloristeur-chocolat,masque-coloristeur-chocolat,1.0,direct,Masque Coloristeur Chocolat
masque-coloristeur-marron-noisette,masque-coloristeur-marron-noisette,1.0,direct,Masque Coloristeur Marron Noisette
masque-coloristeur-cuivre,masque-coloristeur-cuivre,1.0,direct,Masque Coloristeur Cuivré
shampoing-coloristeur-blond-soleil,shampoing-coloristeur-blond-soleil,1.0,direct,Shampoing Coloristeur Blond Soleil
creme-lissante-testeur,creme-lissante-testeur,1.0,direct,Crème Lissante testeur
creme-ha-repulpe-testeur,creme-ha-repulpe-testeur,1.0,direct,Crème HA Repulpe testeur
spray-texturisant-testeur,spray-texturisant-testeur,1.0,direct,Spray Texturisant testeur
creme-boucles-testeur,creme-boucles-testeur,1.0,direct,Crème Boucles testeur
shampoing-nourrissant-testeur,shampoing-nourrissant-testeur,1.0,direct,Shampoing Nourrissant testeur
creme-volume-testeur,creme-volume-testeur,1.0,direct,Crème Volume testeur
shampoing-volume-testeur,shampoing-volume-testeur,1.0,direct,Shampoing Volume testeur
shampoing-protecteur-de-couleur-testeur,shampoing-protecteur-de-couleur-testeur,1.0,direct,Shampoing Protecteur de Couleur testeur
shampoing-purifiant-testeur,shampoing-purifiant-testeur,1.0,direct,Shampoing Purifiant testeur
shampoing-boucles-testeur,shampoing-boucles-testeur,1.0,direct,Shampoing Boucles testeur
shampoing-lissant-testeur,shampoing-lissant-testeur,1.0,direct,Shampoing Lissant testeur
masque-nourrissant-testeur,masque-nourrissant-testeur,1.0,direct,Masque Nourrissant testeur
masque-boucles-testeur,masque-boucles-testeur,1.0,direct,Masque Boucles testeur
masque-lissant-testeur,masque-lissant-testeur,1.0,direct,Masque Lissant testeur
masque-protecteur-de-couleur-testeur,masque-protecteur-de-couleur-testeur,1.0,direct,Masque Protecteur de Couleur testeur
masque-ha-repulpe-testeur,masque-ha-repulpe-testeur,1.0,direct,Masque HA Repulpe testeur
shampoing-nourrissant,shampoing-nourrissant,1.0,direct,Shampoing nourrissant
masque-dejaunisseur-platine,masque-dejaunisseur-platine,1.0,direct,Masque Déjaunisseur Platine
masque-blond-soleil-testeur,masque-blond-soleil-testeur,1.0,direct,Masque Blond Soleil Testeur
masque-platine-testeur,masque-platine-testeur,1.0,direct,Masque Platine Testeur
masque-coloristeur-blond-soleil,masque-coloristeur-blond-soleil,1.0,direct,Masque Coloristeur Blond Soleil
masque-coloristeur-blond-vanille,masque-coloristeur-blond-vanille,1.0,direct,Masque Coloristeur Blond Vanille
creme-nourrissante,creme-nourrissante,1.0,direct,Crème Nourrissante
creme-protectrice-de-couleur,creme-protectrice-de-couleur,1.0,direct,Crème Protectrice de Couleur
shampoing-purifiant,shampoing-purifiant,1.0,direct,Shampoing Purifiant
shampoing-lissant,shampoing-lissant,1.0,direct,Shampoing Lissant
creme-volume,creme-volume,1.0,direct,Crème Volume
frais-dimpression-etiquettes,frais-dimpression-etiquettes,1.0,direct,Frais d'impression étiquettes
masque-nourrissant,masque-nourrissant,1.0,direct,Masque Nourrissant
masque-lissant,masque-lissant,1.0,direct,Masque Lissant
masque-boucles,masque-boucles,1.0,direct,Masque Boucles
huile-a-barbe-testeur,huile-a-barbe-testeur,1.0,direct,Huile à barbe testeur
bain-miraculeux,bain-miraculeux,1.0,direct,Bain Miraculeux 50ml
masque-reparateur-sans-rincage,masque-reparateur-sans-rincage,1.0,direct,Masque Réparateur sans rinçage 200ml
masque-reparateur-sans-rincage-testeur,masque-reparateur-sans-rincage-testeur,1.0,direct,Masque Réparateur sans rinçage testeur
shampoing-dejaunisseur-platine,shampoing-dejaunisseur-platine,1.0,direct,Shampoing Déjaunisseur Platine
masque-blond-vanille-testeur,masque-blond-vanille-testeur,1.0,direct,Masque Blond Vanille Testeur
shampoing-coloristeur-blond-vanille,shampoing-coloristeur-blond-vanille,1.0,direct,Shampoing Coloristeur Blond Vanille
shampoing-blond-vanille-testeur,shampoing-blond-vanille-testeur,1.0,direct,Shampoing Blond Vanille Testeur
masque-marron-noisette-testeur,masque-marron-noisette-testeur,1.0,direct,Masque Marron Noisette Testeur
masque-volume,masque-volume,1.0,direct,Masque Volume
masque-volume-testeur,masque-volume-testeur,1.0,direct,Masque Volume testeur
masque-ha-repulpe,masque-ha-repulpe,1.0,direct,Masque HA Repulpe
serum-finition-ultime-testeur,serum-finition-ultime-testeur,1.0,direct,Sérum Finition Ultime testeur
serum-finition-ultime,serum-finition-ultime,1.0,direct,Sérum Finition Ultime 50ml
masque-intense-testeur,masque-intense-testeur,1.0,direct,Masque intense testeur
shampoing-protecteur-de-couleur,shampoing-protecteur-de-couleur,1.0,direct,Shampoing Protecteur de Couleur
serum-barbe-testeur,serum-barbe-testeur,1.0,direct,Sérum barbe testeur
serum-barbe,serum-barbe,1.0,direct,Sérum barbe 50ml
bain-miraculeux-testeur,bain-miraculeux-testeur,1.0,direct,Bain Miraculeux testeur
shampoing-dejaunisseur-platine-2,shampoing-dejaunisseur-platine,1.0,exact_normalized,Shampoing Déjaunisseur Platine
masque-1l-coloristeur-marron-noisette,masque-1000ml-coloristeur-marron-noisette,1.0,exact_normalized,Masque Coloristeur Marron noisette 1000ml
masque-1l-coloristeur-chocolat,masque-1000ml-coloristeur-chocolat,1.0,exact_normalized,Masque Coloristeur Chocolat 1000ml
masque-1l-coloristeur-blond-soleil,masque-1000ml-coloristeur-blond-soleil,1.0,exact_normalized,Masque Coloristeur Blond Soleil 1000ml
masque-1l-dejaunisseur-platine,masque-1000ml-dejaunisseur-platine,1.0,exact_normalized,Masque Déjaunisseur Platine 1000ml
masque-ha-repulpe-1l,masque-ha-repulpe-1000ml,1.0,exact_normalized,Masque HA Repulpe 1000ml
shampoing-boucles-1l,shampoing-boucles-1000ml,1.0,exact_normalized,Shampoing Boucles 1000ml
shampoing-lissant-1l,shampoing-lissant-1000ml,1.0,exact_normalized,Shampoing Lissant 1000ml
shampoing-purifiant-1l,shampoing-purifiant-1000ml,1.0,exact_normalized,Shampoing Purifiant 1000ml
creme-lissante-2,creme-lissante,1.0,exact_normalized,Crème Lissante
spray-texturisant-2,spray-texturisant,1.0,exact_normalized,Spray Texturisant 200ml
creme-ha-repulpe-2,creme-ha-repulpe,1.0,exact_normalized,Crème HA repulpe
shampoing-volume-2,shampoing-volume,1.0,exact_normalized,Shampoing volume
shampoing-volume-1l,shampoing-volume-1000ml,1.0,exact_normalized,Shampoing Volume 1000ml
shampoing-1l-coloristeur-blond-vanille,shampoing-1000ml-coloristeur-blond-vanille,1.0,exact_normalized,Shampoing Coloristeur Blond Vanille 1000ml
shampoing-1l-coloristeur-blond-soleil,shampoing-1000ml-coloristeur-blond-soleil,1.0,exact_normalized,Shampoing Coloristeur Blond Soleil 1000ml
shampoing-protecteur-de-couleur-1l,shampoing-protecteur-de-couleur-1000ml,1.0,exact_normalized,Shampoing Protecteur de Couleur 1000ml
shampoing-1l-dejaunisseur-platine,shampoing-1000ml-dejaunisseur-platine,1.0,exact_normalized,Shampoing Déjaunisseur Platine 1000ml
masque-1l-coloristeur-blond-vanillle,masque-1000ml-coloristeur-blond-vanille,0.987,fuzzy,Masque Coloristeur Blond Vanille 1000ml
masque-protecteur-de-couleur-1-l,masque-protecteur-de-couleur-1000ml,0.986,fuzzy,Masque Protecteur de Couleur 1000ml
shampoing-harepulpe-testeur,shampoing-ha-repulpe-testeur,0.982,fuzzy,Shampoing HA Repulpe testeur
shampoing-nourrissant-1-l,shampoing-nourrissant-1000ml,0.982,fuzzy,Shampoing Nourrissant 1000ml
shampoing-ha-repulpe-1-l,shampoing-ha-repulpe-1000ml,0.981,fuzzy,Shampoing Ha Repulpe 1000ml
shampoing-gel-douche-1-l,shampoing-gel-douche-1000ml,0.981,fuzzy,Shampoing Gel douche 1000ml
masque-nourrissant-1-l,masque-nourrissant-1000ml,0.98,fuzzy,Masque Nourrissant 1000ml
masque-boucles-1-l,masque-boucles-1000ml,0.976,fuzzy,Masque Boucles 1000ml
masque-lissant-1-l,masque-lissant-1000ml,0.976,fuzzy,Masque Lissant 1000ml
masque-volume-1-l,masque-volume-1000ml,0.974,fuzzy,Masque Volume 1000ml
shampoing-boucle,shampoing-boucles,0.97,fuzzy,Shampoing Boucles
creme-boucle,creme-boucles,0.96,fuzzy,Crème Boucles
creme-protecteur-de-couleur-testeur,creme-protectrice-de-couleur-testeur,0.93,fuzzy,Crème Protectrice de Couleur testeur
shampoing-repulpe,shampoing-ha-repulpe,0.919,fuzzy,Shampoing HA Repulpe
masque-1l-coloristeur-cuivre-intense,masque-1000ml-coloristeur-cuivre,0.889,fuzzy,Masque Coloristeur Cuivré Intense 1000ml
nourrissante-testeur,creme-nourrissante-testeur,0.87,fuzzy,Crème Nourrissante testeur
shampoing-gel-douche-homme,shampoing-gel-douche,0.87,fuzzy,Shampoing - Gel douche
shampoing-blond-vanille-testeur-2,shampoing-blond-vanille-testeur,0.852,fuzzy,Shampoing Blond Vanille Testeur
shampoing-1l-coloristeur-marron-noisette,masque-1000ml-coloristeur-marron-noisette,0.847,fuzzy,Masque Coloristeur Marron noisette 1000ml
shampoing-chocolat-testeur,shampoing-boucles-testeur,0.824,fuzzy,Shampoing Boucles testeur
shampoing-1l-coloristeur-chocolat,shampoing-1000ml-coloristeur-blond-soleil,0.821,fuzzy,Shampoing Coloristeur Blond Soleil 1000ml
shampoing-coloristeur-marron-noisette,masque-coloristeur-marron-noisette,0.817,fuzzy,Masque Coloristeur Marron Noisette
trio-protecteur-de-couleur,masque-protecteur-de-couleur,0.815,fuzzy,Masque Protecteur de Couleur
shampoing-1l-coloristeur-cuivre,masque-1000ml-coloristeur-cuivre,0.806,fuzzy,Masque Coloristeur Cuivré Intense 1000ml
forfait-impression-couleur,forfait-dimpression,0.8,fuzzy,Forfait d’impression couleur
shampoing-marron-noisette-testeur,masque-marron-noisette-testeur,0.794,fuzzy,Masque Marron Noisette Testeur
huile-a-barbe-au-cbd,huile-a-barbe,0.788,fuzzy,Huile à barbe 50ml
shampoing-cuivre-intense-testeur,masque-cuivre-intense-testeur,0.787,fuzzy,Masque Cuivré Intense Testeur
shampoing-coloristeur-chocolat,shampoing-coloristeur-blond-soleil,0.781,fuzzy,Shampoing Coloristeur Blond Soleil
trio-ha-repulpe,creme-ha-repulpe,0.774,fuzzy,Crème HA repulpe
trio-nourrissant,creme-nourrissante,0.765,fuzzy,Crème Nourrissante
shampoing-coloristeur-cuivre,shampoing-coloristeur-blond-vanille,0.762,fuzzy,Shampoing Coloristeur Blond Vanille
masque-protecteur,masque-protecteur-de-couleur,0.756,fuzzy,Masque Protecteur de Couleur
trio-boucles,creme-boucles,0.72,fuzzy,Crème Boucles
pate-texturisante-50ml,spray-texturisant,0.718,fuzzy,Spray Texturisant 200ml
etiquette-green-floral,green-floral,0.706,fuzzy,Green Floral
etiquette-aquarel,etiquettes-standards,0.703,fuzzy,Etiquettes standards
trio-volume,creme-volume,0.696,fuzzy,Crème Volume
trio-lissant,creme-lissante,0.692,fuzzy,Crème Lissante
duo-purifiant,shampoing-purifiant,0.688,fuzzy,Shampoing Purifiant
etiquettes-sur-mesure,etiquettes-standards,0.683,fuzzy,Etiquettes standards
etiquette-gentleman,etiquettes-standards,0.667,fuzzy,Etiquettes standards
etiquette-and-yellow,etiquettes-standards,0.65,fuzzy,Etiquettes standards
pate-texturisante-a-largile-blanche-testeur,spray-texturisant-testeur,0.647,fuzzy,Spray Texturisant testeur
etiquette-prestige,etiquettes-standards,0.632,fuzzy,Etiquettes standards
etiquette-zebra,etiquettes-standards,0.629,fuzzy,Etiquettes standards
gel-a-raser,,0,no_match,(no match)
coffret-decouverte-barber,,0,no_match,(no match)
pack-barber,,0,no_match,(no match)
baume-apaisant,,0,no_match,(no match)
etiquette-finesse,,0,no_match,(no match)
etiquette-feuillage-graphique,,0,no_match,(no match)
pack-de-revente,,0,no_match,(no match)
offre-pack-complet,,0,no_match,(no match)
video-promo,,0,no_match,(no match)
cire-brillante-de-finition-en-50-ml,,0,no_match,(no match)
baume-matifiant-a-largile-verte-testeur,,0,no_match,(no match)
baume-matifiant,,0,no_match,(no match)
cire-mat-50ml,,0,no_match,(no match)
cire-gummy-50ml,,0,no_match,(no match)
coffret-decouverte,,0,no_match,(no match)
duo-produits-de-finition,,0,no_match,(no match)
adhesion-mylab,,0,no_match,(no match)
etiquette-ornement,,0,no_match,(no match)
masque-capillaire-pour-homme-au-cbd,,0,no_match,(no match)
